Month,DayOfYear,City Name,Variety,Package,Price
9,268,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,13.5
9,268,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,16.2
10,275,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,16.2
10,275,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.299999999999999
10,282,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,13.5
10,282,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,16.2
10,282,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.299999999999999
10,282,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.975
10,289,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,13.5
10,289,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.299999999999999
10,289,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.975
10,296,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,13.5
10,296,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.299999999999999
10,296,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.975
10,303,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,13.5
10,303,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,14.85
10,303,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,15.299999999999999
9,259,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,16.2
9,266,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,14.399999999999999
9,266,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,16.2
9,266,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,14.399999999999999
9,273,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,14.399999999999999
9,273,BALTIMORE,PIE TYPE,1 1/9 bushel cartons,14.399999999999999
9,268,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,268,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,275,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
10,275,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,275,BALTIMORE,MINIATURE,1/2 bushel cartons,34.0
10,282,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,282,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
10,282,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
10,282,BALTIMORE,MINIATURE,1/2 bushel cartons,34.0
10,289,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,289,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,289,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
10,289,BALTIMORE,MINIATURE,1/2 bushel cartons,34.0
10,296,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,296,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,296,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
10,296,BALTIMORE,MINIATURE,1/2 bushel cartons,34.0
10,303,BALTIMORE,MINIATURE,1/2 bushel cartons,32.0
10,303,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,303,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
10,303,BALTIMORE,MINIATURE,1/2 bushel cartons,34.0
11,310,BALTIMORE,MINIATURE,1/2 bushel cartons,33.0
9,259,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,266,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,266,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,273,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,273,BALTIMORE,MINIATURE,1/2 bushel cartons,36.0
9,268,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,275,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
10,282,BALTIMORE,MINIATURE,1/2 bushel cartons,30.0
11,310,ATLANTA,PIE TYPE,1 1/9 bushel cartons,13.274999999999999
11,317,ATLANTA,PIE TYPE,1 1/9 bushel cartons,13.274999999999999
11,324,ATLANTA,PIE TYPE,1 1/9 bushel cartons,13.274999999999999
11,331,ATLANTA,PIE TYPE,1 1/9 bushel cartons,13.274999999999999
9,273,ATLANTA,MINIATURE,1 1/9 bushel cartons,15.524999999999999
9,268,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
10,275,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
10,282,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
10,289,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
10,296,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
10,303,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
11,310,BOSTON,FAIRYTALE,1/2 bushel cartons,31.0
9,268,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
10,275,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
10,282,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
10,289,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
10,296,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
10,303,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
11,310,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
11,317,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
11,324,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
11,331,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
12,338,BOSTON,PIE TYPE,1 1/9 bushel crates,13.95
9,268,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
10,275,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
10,282,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
10,289,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
10,296,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
10,303,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
11,310,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
11,317,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
11,324,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
11,331,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
12,338,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
12,345,BOSTON,PIE TYPE,1 1/9 bushel cartons,13.95
9,266,BOSTON,PIE TYPE,bushel cartons,22.0
9,273,BOSTON,PIE TYPE,bushel cartons,22.0
9,268,BOSTON,MINIATURE,1/2 bushel cartons,33.0
9,268,BOSTON,MINIATURE,1/2 bushel cartons,33.0
10,275,BOSTON,MINIATURE,1/2 bushel cartons,33.0
10,275,BOSTON,MINIATURE,1/2 bushel cartons,33.0
